27
s01      800      800      800
s02      800      800      0
s03      800      800     -800
s04      800      0        800
s05      800      0        0
s06      800      0       -800
s07      800     -800      800
s08      800     -800      0
s09      800     -800     -800
s10      0        800      800
s11      0        800      0
s12      0        800     -800
s13      0        0        800
s14      0        0        0
s15      0        0       -800
s16      0       -800      800
s17      0       -800      0
s18      0       -800     -800
s19     -800      800      800
s20     -800      800      0
s21     -800      800     -800
s22     -800      0        800
s23     -800      0        0
s24     -800      0       -800
s25     -800     -800      800
s26     -800     -800      0
s27     -800     -800     -800
